Date;ITSA4.SA;ALOS3.SA;CSAN3.SA;USIM5.SA;BBAS3.SA;B3SA3.SA;UGPA3.SA;BEEF3.SA;BPAC11.SA;BRKM5.SA;CMIG4.SA;KLBN11.SA;ITUB4.SA;VBBR3.SA;BBDC4.SA;LREN3.SA;AXIA3.SA;MGLU3.SA;WEGE3.SA;COGN3.SA;SLCE3.SA;Retorno_IBOV_Simples
2021-02-01;0,016965374;0,016298246;0,024247153;0,011363495;0,01269927;0,024247412;0,020201887;-0,002155204;0,045025069;0,055326182;0,032116764;0,013619825;0,026655299;0,021925772;0,020614496;-0,009645592;0,07459043;-0,013454643;0,00895083;0,004424811;0,010684415;0,01170619
2021-02-02;0,001853305;0,012473529;0,022112375;-0,020973879;-0,006707388;0,023510216;0,027452899;0,005399519;-0,002845398;0,063380312;0,009901477;-0,008486556;-0,021320428;-0,018090208;-0,004004189;-0,001460923;0,016217905;0,014841547;0,00816177;0,024229129;0,045714166;0,007404252
2021-02-03;0,000924895;0,021823169;0,004708594;-0,003825327;0,007927322;0,004306818;0,02715708;0,020408206;0,07510457;0,062178043;0,009803585;0,013908728;-0,004919234;-0,014995742;0,004775141;0,020238962;0,012448109;0,013834052;0,040361679;0,019354799;0,035246044;0,012610586
2021-02-04;0;-0,001033308;0,01241297;0,009984515;-0,004078193;-0,008259208;-0,005970131;-0,01368416;0,020379163;0,029095861;-0,009014941;-0,010200698;-0,004237391;-0,009569089;0,030098896;-0,011949927;-0,014359222;-0,013255383;-0,034961236;-0,025316346;-0,027447906;-0,003875548
2021-02-05;-0,005545109;-0,014827551;-0,014888224;0,04410646;-0,006727006;0,016175778;0,012441107;-0,002134566;0,020529443;-0,018512263;-0,010497314;0,011016684;-0,004255104;-0,012735942;-0,005382097;-0,007982941;-0,001675128;0,021335407;-0,012504364;0,002164336;0,008412508;0,005567621
2021-02-08;-0,01486996;0,005250143;0,085725521;0,010925019;-0,002650447;-0,0148151;0,011017085;0,007486613;0,039868896;-0,018175575;0,001414903;-0,017926357;-0,018518929;-0,002224421;-0,021260513;0,005608631;-0,00369128;0,01199225;0,011833993;-0,034557188;0,046824393;-0,003410465
2021-02-09;0,008490469;-0,01218663;-0,022341922;0,012968395;0,012105374;-0,004639221;0,022212765;0,011677201;-0,007703047;0,012574264;-0,016949356;0;0,011973897;-0,002228933;0,005134663;-0,008486738;0,004715357;0,003058109;-0,005731014;-0,011185764;0,011054029;-0,000727936
2021-02-10;-0,006547995;-0,032076223;0,00442681;-0,01778097;-0,013710946;-0,034876235;-0,027880249;-0,024134356;-0,043842498;-0,006209058;-0,013649455;-0,00071605;-0,007170596;-0,00223436;-0,011002157;-0,027635396;-0,018772983;-0,035823166;0,011998716;-0,04072384;0,013729982;-0,008364803
2021-02-11;0,001883149;-0,002913205;0,029184158;0,023895773;0,003844682;0,004496394;-0,012652894;0,022580913;0,02186547;0,018049287;0,000728447;0,003940019;0;0,014330644;0,001192269;-0,009305686;0,014007578;0,013834052;0,011275302;-0,002358574;0,043140208;0,006797264
2021-02-12;-0,003759395;-0,005113222;0,013773034;0,00353594;-0,005597766;-0,007626061;-0,00042708;0,007360468;-0,018057274;0,030344389;-0,01528345;-0,000356722;0,002527959;-0,017660223;0;0,012947256;0,012129277;0,010136469;-0,003793172;-0,009456334;0,024284709;-0,000998029
