Date;ALOS3.SA;ABEV3.SA;AZZA3.SA;B3SA3.SA;BBDC3.SA;BBDC4.SA;BBAS3.SA;BRKM5.SA;CMIG4.SA;COGN3.SA;CSMG3.SA;CPLE3.SA;CSAN3.SA;CPFE3.SA;CYRE3.SA;ENGI11.SA;EGIE3.SA;FLRY3.SA;GGBR4.SA;HYPE3.SA;ISAE4.SA;ITUB4.SA;RENT3.SA;LREN3.SA;MGLU3.SA;MBRF3.SA;BEEF3.SA;PSSA3.SA;RADL3.SA;SANB11.SA;VIVT3.SA;TIMS3.SA;TOTS3.SA;UGPA3.SA;VALE3.SA;VBBR3.SA;WEGE3.SA;YDUQ3.SA;Retorno_IBOV_Simples
2021-01-18;0,017458948;0,01692787;0,019284871;0,016382425;0,004254847;0,003365523;-0,010192779;-0,014682577;-0,016360237;-0,014705815;-0,022740852;-0,003478235;0,009577498;-0,008995027;-0,001049741;-0,034546039;-0,002018501;-0,004281031;0,014187121;-0,003735619;-0,002132707;-0,005102018;-0,000282807;0,001160326;0,020450749;-0,006442373;0,005144107;0,008676098;0,035330275;-0,010215474;-0,012533679;-0,00854715;0,026738095;-0,016313762;0,00812386;-0,002749783;0,070218022;0,009080169;0,006140977
2021-01-19;-0,023000925;0,003082558;0,022412927;-0,003453928;-0,018643873;-0,016026644;-0,016977332;0,022150596;-0,017324898;-0,012793211;-0,023270032;-0,004600959;0,001581124;-0,008137706;-0,010157689;0,008892587;0,01101126;-0,013615365;-0,029489646;0,021344402;-0,003562798;-0,01185909;-0,026736625;0,01785319;-0,015132914;-0,015129713;-0,019447507;-0,005601215;-0,005934815;-0,022247941;-0,007479263;-0,014367712;0,025000045;-0,005378802;-0,002650999;-0,00045921;-0,028304805;0,001451379;-0,004693093
2021-01-20;0,005231689;-0,015365653;-0,003558545;-0,009737646;-0,019861826;-0,020833617;-0,02236716;-0,006698131;-0,023977174;0,002159783;-0,013792974;-0,023908135;-0,019186384;-0,008835585;0,005661777;-0,009863638;-0,021560282;-0,011260483;-0,020646533;-0,011861001;-0,015731013;-0,016542477;0,01119212;-0,017995842;0,055647861;-0,010241235;-0,008350606;0,0026151;-0,022014684;-0,020173568;0,001598686;-0,013119333;0,01185633;0,016223671;-0,018498952;-0,010115158;-0,010045084;0,005217443;-0,007996818
2021-01-21;-0,023419985;-0,025592991;0;-0,03166634;-0,01806139;-0,014312482;-0,010135975;-0,015073412;-0,000722786;-0,030172275;-0,02288632;0,020574705;-0,038999605;-0,012734873;-0,053483622;0,005298962;-0,009314055;-0,01065389;-0,004773518;-0,007430867;-0,007991058;-0,01352205;-0,023860872;-0,01739726;0,002753637;-0,014782098;-0,016842287;0,003812319;-0,028233696;-0,017955662;-0,000912009;-0,017725443;-0,004017565;-0,002660892;0,011265185;-0,032512687;-0,011837308;-0,024509807;-0,010567381
2021-01-22;-0,003426155;-0,029468371;-0,007428625;0,007745005;-0,016599277;-0,018446205;-0,014336025;-0,033024574;-0,002169022;-0,020000146;0,007156978;-0,009919822;-0,007987658;-0,017091242;-0,033456974;-0,009066135;-0,0064205;-0,009654643;0,013589217;-0,002303605;-0,007689607;-0,021398231;-0,005890133;-0,031633367;0,01961564;-0,010502686;-0,017130493;-0,013192012;-0,016882676;-0,021209036;0,007302491;-0,005263119;0,010756331;-0,025789092;-0,002034975;0,003360391;0,015059776;-0,014484278;-0,0107309
2021-01-26;-0,004201616;0,016501759;-0,006764401;0,012809713;-0,02144131;-0,023990403;-0,026714246;-0,014993801;-0,023188425;-0,01814047;-0,012920005;-0,010989322;-0,016233699;-0,003608827;-0,017692409;0,020425585;-0,013847168;0,001874723;-0,051656061;-0,01183245;-0,00664226;-0,033190947;-0,022959432;0,009751196;-0,009234474;-0,029567763;-0,013071764;-0,012355483;0,033146908;-0,020672526;0,015631882;-0,010582041;0,001330327;0,007759064;-0,015241014;0,095693796;-0,000224934;0,002999467;-0,006042399
2021-01-27;0,005753609;0;0,029271038;-0,004890584;0,008391621;0,014338323;0,029277294;-0,014799119;-0,002225471;0,004618971;0,008507886;0,000653811;0,01650158;0,013829327;0,006264654;0,040241832;0,004212388;-0,009356379;-0,016631937;-0,026869581;0,003714675;0;-0,014857692;0,010139842;0,00155347;0,025781074;0,022074982;-0,014151272;-0,030150716;-0,000762757;0,018514252;0,017570645;-0,045499887;-0,002264493;-0,027793023;0,016157002;-0,002923055;-0,00418663;-0,004997252
2021-01-28;0,080091728;0,00909092;0,021962644;0,03863757;0,030975178;0,031098425;0,023407398;0,02274677;0,052044419;0,055172429;0,033095298;0,03069874;0,001948035;0,019811605;0,036964857;0,001603679;0,022139486;0,015867071;0,027060921;0,02641084;-0,003330856;0,040354391;0,034779922;0,033221844;0,015509915;0,011424295;0,025917919;0,040982241;0,010362681;0,037668458;0,00109507;0,017267356;0,025052239;0,042668843;0,021300651;0,022776104;-0,008117652;0,030630716;0,029616334
2021-01-29;-0,025070669;-0,027670691;-0,027827763;-0,024310569;-0,02959639;-0,030943902;-0,019687132;0,016365947;-0,031802389;-0,015250656;-0,025753722;-0,015367276;-0,027089966;-0,009235569;-0,038273884;0,001600781;-0,020519966;-0,023428659;-0,042815678;-0,055847998;-0,021537159;-0,035726904;-0,04997027;-0,040712442;-0,035127972;0,000753142;-0,023157857;-0,037170168;-0,016962509;-0,031886153;-0,011157496;-0,018450259;-0,035980973;-0,051806597;-0,034577356;-0,022688694;-0,047516391;-0,022435977;-0,027716781
2021-02-01;0,016298246;0,032429022;0,01884675;0,024247412;0,021257074;0,020614496;0,01269927;0,055326182;0,032116764;0,004424811;0,018052983;0,004505122;0,024247153;0,014464695;0,030823359;-0,012986877;0,019087576;0,038842392;-0,000430001;0,023846554;0,011764902;0,026655299;0,00109583;-0,009645592;-0,013454643;0,001504799;-0,002155204;0,012038097;0,00441416;0,032683056;0,016151081;0,000751874;-0,001408481;0,020201887;0,037748529;0,021925772;0,00895083;0,008047705;0,01170619
2021-02-02;0,012473529;0,000640998;0,0083445;0,023510216;-0,001936341;-0,004004189;-0,006707388;0,063380312;0,009901477;0,024229129;0,008866234;0,018420449;0,022112375;0,02566555;0,025738081;0,023684116;0,010735458;0,052052794;-0,011618117;0,005747013;-0,012003167;-0,021320428;0,055668567;-0,001460923;0,014841547;0,018031508;0,005399519;0,010869142;0,009588782;-0,008096088;0,014804716;0,02178797;0,067701015;0,027452899;-0,039552806;-0,018090208;0,00816177;0,02986403;0,007404252
2021-02-03;0,021823169;0,004484271;0;0,004306818;0,006352334;0,004775141;0,007927322;0,062178043;0,009803585;0,019354799;0,003766529;-0,000786253;0,004708594;0,010812468;0,03837635;0,017005965;0,016949235;-0,012543646;0,024379777;-0,006917209;0,006454066;-0,004919234;0,019108015;0,020238962;0,013834052;0,038376458;0,020408206;0,011361422;0,006727082;0,013356225;0,038189578;0,035294075;-0,023117835;0,02715708;0,031599212;-0,014995742;0,040361679;-0,012632815;0,012610586
2021-02-04;-0,001033308;-0,00510198;0,027724417;-0,008259208;0,030657835;0,030098896;-0,004078193;0,029095861;-0,009014941;-0,025316346;-0,014384074;-0,003935139;0,01241297;0,012530461;-0,009950182;-0,013416076;0,002666624;-0,013761538;-0,014449805;0,005754046;-0,018106354;-0,004237391;0,011628204;-0,011949927;-0,013255383;0,014925403;-0,01368416;-0,006619569;-0,02201247;0,012936501;0;-0,016335009;0,004733136;-0,005970131;-0,012606263;-0,009569089;-0,034961236;-0,028787341;-0,003875548
2021-02-05;-0,014827551;-0,005128143;-0,006844672;0,016175778;-0,006561233;-0,005382097;-0,006727006;-0,018512263;-0,010497314;0,002164336;0,013325006;0,024968306;-0,014888224;0,009055312;-0,015075547;-0,006898005;0;0,007513441;0,043553103;-0,006323439;0,001536473;-0,004255104;-0,01048858;-0,007982941;0,021335407;0,002100657;-0,002134566;0,035742961;0,014871139;0,001445655;-0,011159419;0;-0,005383629;0,012441107;0,038078092;-0,012735942;-0,012504364;0,0011975;0,005567621
