Date,Retorno_IBOV
2021-01-05,0.0055933967286683275
2021-01-06,0.005253615570277599
2021-01-07,0.01741101933500825
2021-01-08,0.025269223708550326
2021-01-11,-0.01831553030643295
2021-01-12,0.009651419096957459
2021-01-13,-0.015916576594235704
2021-01-14,0.011738438230183359
2021-01-15,-0.024420947775306342
2021-01-18,0.006122197956068244
2021-01-19,-0.004704140291259191
2021-01-20,-0.008028963886458816
2021-01-21,-0.010623611888438016
2021-01-22,-0.01078889144320182
2021-01-26,-0.0060607283741542
2021-01-27,-0.0050097803900013265
2021-01-28,0.029186241448277764
2021-01-29,-0.028108139320903527
2021-02-01,0.011638202767575418
2021-02-02,0.0073769747825229905
2021-02-03,0.012531734565299428
2021-02-04,-0.0038830775277808203
2021-02-05,0.005552178687235357
2021-02-08,-0.003416293765801668
2021-02-09,-0.0007282010826299699
2021-02-10,-0.008399983806292317
2021-02-11,0.006774266959782038
2021-02-12,-0.000998527464852117
2021-02-17,0.010646971021839858
2021-02-18,-0.010445507049631928
2021-02-19,-0.0032956715328838013
2021-02-22,-0.052558159603246904
2021-02-23,0.02245865473585071
2021-02-24,0.0038199227895700807
2021-02-25,-0.029942041280168266
2021-02-26,-0.01998348030816481
2021-03-01,0.002722695333545595
2021-03-02,0.010862078626363757
2021-03-03,-0.003196784389436088
2021-03-04,0.01345419939228639
2021-03-05,0.022046423257941615
2021-03-08,-0.04065852692372548
2021-03-09,0.006479163706660519
2021-03-10,0.012895804463489575
2021-03-11,0.019389437780306502
2021-03-12,-0.007192015080349672
2021-03-15,0.00603466293776276
2021-03-16,-0.007270534932527551
2021-03-17,0.02194668426256148
2021-03-18,-0.014815469967999359
2021-03-19,0.012005839772553544
2021-03-22,-0.010752652248331806
2021-03-23,-0.015045783977948288
2021-03-24,-0.010633582351265023
2021-03-25,0.01493292116767312
2021-03-26,0.009022907130424035
2021-03-29,0.005543020274099962
2021-03-30,0.012322075749283108
2021-03-31,-0.0018502343768361732
2021-04-01,-0.011911114701293513
2021-04-05,0.019461801434219998
2021-04-06,-0.00016169043125728033
2021-04-07,0.001063273365656011
2021-04-08,0.005840558781399238
2021-04-09,-0.00544955858091786
2021-04-12,0.00965831545254029
2021-04-13,0.004073770170290016
2021-04-14,0.008330877258442695
2021-04-15,0.003369353716197404
2021-04-16,0.003415837740188109
2021-04-19,-0.0014873085766566691
2021-04-20,-0.007236666214392782
2021-04-22,-0.005771985636355894
2021-04-23,0.00966239421416165
2021-04-26,0.0005391394635518683
2021-04-27,-0.010059130668581068
2021-04-28,0.013849772829207078
2021-04-29,-0.008186874636948647
2021-04-30,-0.00980925173761512
2021-05-03,0.002645915286852887
2021-05-04,-0.01263729194681052
2021-05-05,0.015610829671541806
2021-05-06,0.0029813997907184894
2021-05-07,0.017499278992528535
2021-05-10,-0.0010576068738227633
2021-05-11,0.008616764834706258
2021-05-12,-0.026819478342302687
2021-05-13,0.008285685629559978
2021-05-14,0.009687321982609081
2021-05-17,0.008635004372829725
2021-05-18,0.0003415772770464488
