Date,ABEV3.SA,ALOS3.SA,ASAI3.SA,AURE3.SA,AXIA3.SA,AXIA6.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRKM5.SA,CEAB3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CURY3.SA,CXSE3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,EMBJ3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MOTV3.SA,MRVE3.SA,MULT3.SA,NATU3.SA,PETR3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMFT3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2021-01-04,11.909067153930664,22.886629104614258,,,28.400922775268555,18.956636428833008,56.32667922973633,16.629671096801758,12.455721855163574,13.288726806640625,15.082989692687988,18.157093048095703,8.09018611907959,20.39735221862793,12.336799621582031,36.189395904541016,19.863750457763672,11.723748207092285,3.7687764167785645,,3.9953536987304688,21.33647918701172,4.606457233428955,17.69945526123047,10.285900115966797,22.041519165039062,6.665504455566406,,21.452707290649414,2.8658978939056396,22.822267532348633,,15.632499694824219,35.433658599853516,19.62735366821289,18.954265594482422,13.94261646270752,5.190398216247559,224.60186767578125,26.96589469909668,,18.202219009399414,5.867988109588623,19.639385223388672,17.297725677490234,28.34186363220215,8.75106430053711,215.73541259765625,,17.295944213867188,18.619333267211914,,8.622237205505371,8.19313907623291,1.4406092166900635,14.936010360717773,17.98383903503418,21.95241928100586,18.06035804748535,55.08892059326172,,57.60219192504883,29.503496170043945,7.22193717956543,8.027120590209961,,51.439353942871094,19.408544540405273,9.596076965332031,25.773197174072266,8.949857711791992,12.068115234375,52.85942077636719,,14.553741455078125,25.62247085571289,16.814664840698242,33.1416015625,29.567636489868164
2021-01-05,12.162943840026855,22.87850570678711,,,27.667585372924805,18.41202735900879,55.4652099609375,16.662397384643555,12.326492309570312,13.225186347961426,14.991036415100098,17.817304611206055,7.929025650024414,20.243953704833984,12.577970504760742,37.36224365234375,19.872257232666016,11.26543140411377,3.7687764167785645,,3.969850778579712,21.23494529724121,4.506930828094482,17.75530242919922,10.128430366516113,22.44145393371582,6.75480318069458,,21.038707733154297,2.8551158905029297,22.61803436279297,,15.742500305175781,35.24680709838867,19.670486450195312,18.6453800201416,14.279936790466309,5.304762840270996,218.7777557373047,27.86123275756836,,18.084110260009766,5.822264194488525,19.51226806640625,17.17820167541504,28.066566467285156,8.6959867477417,211.96859741210938,,17.194366455078125,18.644107818603516,,8.88528823852539,8.51338005065918,1.4156856536865234,14.734333992004395,17.825759887695312,21.891021728515625,18.201824188232422,54.445899963378906,,57.26225280761719,29.065629959106445,7.204967021942139,8.395956993103027,,51.20358657836914,19.443828582763672,9.37662410736084,25.652502059936523,8.875646591186523,12.197358131408691,53.74946212768555,,14.720258712768555,24.423810958862305,16.671926498413086,35.175750732421875,29.715473175048828
2021-01-06,12.409125328063965,21.741483688354492,,,27.22120475769043,18.307294845581055,52.18501281738281,16.389692306518555,12.608142852783203,13.557653427124023,15.487886428833008,17.526941299438477,7.8162150382995605,19.590925216674805,13.171619415283203,36.91497039794922,20.64638900756836,11.072938919067383,3.846071243286133,,3.8508405685424805,21.22817611694336,4.481376647949219,17.712858200073242,10.11583423614502,23.389684677124023,6.493286609649658,,20.49674415588379,2.7796406745910645,22.434743881225586,,14.9350004196167,34.727760314941406,19.24774169921875,18.252256393432617,14.965291976928711,5.50709867477417,210.7135772705078,27.267059326171875,,17.92662811279297,5.939115047454834,20.084293365478516,17.503568649291992,26.65652847290039,8.432842254638672,200.83937072753906,,16.68647575378418,17.8514404296875,,8.98758602142334,8.53038501739502,1.4306401014328003,14.566603660583496,17.487009048461914,21.382335662841797,18.088651657104492,52.187774658203125,,53.964874267578125,30.060791015625,7.169332981109619,8.373433113098145,,50.2692756652832,19.47911834716797,9.117271423339844,24.436256408691406,8.76803970336914,12.787031173706055,55.51222610473633,,14.507116317749023,23.684789657592773,16.485252380371094,36.10845184326172,28.53277015686035
2021-01-07,12.347579002380371,21.270429611206055,,,27.029895782470703,17.9616756439209,52.11874771118164,16.84783935546875,13.108495712280273,13.890111923217773,15.899065971374512,17.89761734008789,7.7759246826171875,19.715078353881836,14.169696807861328,36.27885055541992,21.156808853149414,10.440462112426758,3.8034260272979736,,3.9273481369018555,20.47679328918457,4.413456916809082,18.403059005737305,10.05914306640625,24.85395622253418,6.722911357879639,,20.62470817565918,2.7171037197113037,22.246213912963867,,14.925000190734863,32.98375701904297,18.833627700805664,18.326444625854492,15.816628456115723,5.76222038269043,213.2522735595703,27.210079193115234,,17.6575984954834,6.177900791168213,20.86605453491211,18.433197021484375,27.361547470092773,8.469560623168945,198.2711181640625,,16.57566261291504,17.83492660522461,,9.250636100769043,8.78544807434082,1.4206700325012207,14.782257080078125,17.88597869873047,21.11045265197754,18.513046264648438,50.97508239746094,,56.522884368896484,30.47213363647461,7.164241313934326,8.398774147033691,,54.56535720825195,18.90862464904785,8.970968246459961,24.37127113342285,9.035200119018555,13.40093994140625,59.13596725463867,,14.773545265197754,23.720834732055664,16.06800651550293,37.60075378417969,28.889324188232422
2021-01-08,12.716853141784668,22.05010223388672,,,27.88279914855957,18.485336303710938,53.09618377685547,17.096006393432617,13.184707641601562,13.783047676086426,15.762007713317871,18.453636169433594,7.840388774871826,20.3395938873291,14.242049217224121,35.29484558105469,21.003681182861328,11.219599723815918,4.064628601074219,,4.097362518310547,21.26879119873047,4.564091682434082,18.371788024902344,10.430770874023438,25.0023193359375,6.767560958862305,,21.610780715942383,2.8486459255218506,23.178375244140625,,15.619999885559082,33.62738037109375,19.420289993286133,19.40321922302246,15.581035614013672,5.665450572967529,251.0281524658203,28.740293502807617,,18.359697341918945,6.162657260894775,20.85969352722168,19.183542251586914,28.939455032348633,8.57359504699707,204.092529296875,,17.720722198486328,18.47896385192871,,9.233102798461914,8.819454193115234,1.5203667879104614,14.866122245788574,19.120534896850586,21.724382400512695,18.861995697021484,52.045597076416016,,60.33867645263672,30.180217742919922,7.401806354522705,8.826736450195312,,54.818580627441406,19.3203182220459,9.37662410736084,25.996023178100586,9.268965721130371,13.336318969726562,58.951045989990234,,15.186509132385254,23.8830623626709,16.488924026489258,39.87473678588867,29.87200927734375
2021-01-11,12.386046409606934,21.099882125854492,,,26.870473861694336,18.082120895385742,52.26783752441406,16.392419815063477,12.969327926635742,13.574552536010742,15.48217487335205,18.070600509643555,7.743693828582764,19.86293601989746,14.099199295043945,33.297027587890625,21.352468490600586,10.953775405883789,3.9233665466308594,,3.9273481369018555,20.666330337524414,4.387903213500977,18.065776824951172,10.229208946228027,24.454025268554688,6.831345081329346,,20.775253295898438,2.921964645385742,22.72800636291504,,15.600000381469727,32.85226821899414,19.032058715820312,18.985261917114258,15.15269660949707,5.568681240081787,272.2713317871094,27.755414962768555,,18.038175582885742,6.020406246185303,20.389373779296875,19.58859634399414,27.831560134887695,8.542996406555176,201.09620666503906,,17.25900650024414,17.68630027770996,,9.145417213439941,8.745768547058105,1.6100927591323853,15.545031547546387,18.627464294433594,21.610370635986328,18.531909942626953,51.217620849609375,,59.16587829589844,29.63785171508789,7.05055046081543,8.930912971496582,,53.534996032714844,19.232101440429688,9.310124397277832,25.94959831237793,8.834831237792969,13.497872352600098,58.939483642578125,,14.880117416381836,23.153053283691406,16.3022518157959,38.65336608886719,28.341449737548828
2021-01-12,12.924568176269531,21.400373458862305,,,27.428449630737305,18.364896774291992,52.855960845947266,16.866924285888672,13.088614463806152,13.580185890197754,15.470754623413086,18.1879825592041,8.049897193908691,20.039472579956055,14.086211204528809,33.823814392089844,21.36097526550293,10.88044548034668,3.907374143600464,,3.9528496265411377,20.767868041992188,4.310568809509277,18.521442413330078,10.292194366455078,24.563682556152344,6.85685920715332,,21.798961639404297,3.085853338241577,22.832740783691406,,16.27750015258789,32.32630157470703,19.032058715820312,19.665327072143555,14.735055923461914,5.471909999847412,265.0904846191406,28.38214874267578,,18.504056930541992,6.066129207611084,20.452930450439453,19.714759826660156,28.13371467590332,8.6959867477417,207.17446899414062,,17.877708435058594,17.867956161499023,,9.113266944885254,8.680587768554688,1.600123405456543,15.27546501159668,18.589824676513672,21.996265411376953,19.51273536682129,53.66810607910156,,60.40666198730469,30.230743408203125,7.074306964874268,9.392661094665527,,53.46513748168945,19.514404296875,9.303473472595215,26.618066787719727,8.771750450134277,13.31208324432373,57.326988220214844,,14.9933500289917,24.540973663330078,16.28760528564453,40.00353240966797,29.654600143432617
2021-01-13,12.439897537231445,21.124242782592773,,,27.284971237182617,18.244455337524414,52.84767532348633,16.935100555419922,12.44246768951416,13.326616287231445,15.236601829528809,18.27447509765625,7.896794319152832,20.15201759338379,13.806084632873535,34.589149475097656,21.352468490600586,10.907943725585938,3.942023277282715,,3.9358482360839844,21.004791259765625,4.230544090270996,18.919031143188477,10.632330894470215,23.383235931396484,7.131134510040283,,21.663471221923828,3.128981590270996,23.199317932128906,,16.875,32.769222259521484,19.31675910949707,19.60865592956543,14.247811317443848,5.331155300140381,254.31935119628906,28.479827880859375,,18.543426513671875,6.005163669586182,20.116073608398438,19.17690086364746,27.797985076904297,8.683748245239258,205.63351440429688,,18.662626266479492,17.735843658447266,,8.692384719848633,8.261154174804688,1.600123405456543,15.870509147644043,18.49197006225586,21.996265411376953,19.522165298461914,55.49131774902344,,60.381168365478516,30.024229049682617,7.167636871337891,9.426446914672852,,52.391117095947266,19.89081573486328,9.283523559570312,26.553083419799805,8.704960823059082,12.504311561584473,55.610477447509766,,14.79352855682373,23.8830623626709,16.324216842651367,40.096805572509766,29.36762237548828
2021-01-14,12.568755149841309,22.025741577148438,,,28.289329528808594,18.86237907409668,54.843963623046875,16.815114974975586,12.412646293640137,13.749242782592773,15.704900741577148,18.521596908569336,7.912909507751465,20.193946838378906,13.935944557189941,35.78187942504883,21.47156524658203,11.182934761047363,4.000660419464111,,4.054858684539795,21.498939514160156,4.274926662445068,18.852022171020508,10.581942558288574,24.118593215942383,7.252324104309082,,22.41619873046875,3.152702808380127,23.686355590820312,,16.985000610351562,34.049537658691406,20.024208068847656,19.722000122070312,14.842142105102539,5.480708599090576,257.3113708496094,28.243793487548828,,18.53030776977539,6.137256622314453,20.71351432800293,18.871458053588867,29.127460479736328,8.622550964355469,203.15084838867188,,19.1151123046875,18.115659713745117,,8.727456092834473,8.346175193786621,1.6699105501174927,15.574984550476074,18.710269927978516,22.70667266845703,19.55988883972168,56.11857604980469,,62.82871627807617,30.67706871032715,7.21514892578125,9.516544342041016,,52.094242095947266,19.855527877807617,9.40322494506836,26.16314125061035,8.6530122756958,12.730488777160645,56.52363204956055,,14.873457908630371,24.31566047668457,16.265653610229492,39.91471481323242,30.698163986206055
2021-01-15,12.329127311706543,21.863309860229492,,,27.173377990722656,18.108301162719727,55.83797073364258,16.313329696655273,12.028273582458496,13.242088317871094,15.27087116241455,18.132383346557617,7.832330226898193,19.774662017822266,13.256956100463867,35.09606170654297,21.437538146972656,11.347929000854492,3.910038471221924,,4.046358108520508,21.823863983154297,4.253407955169678,18.19086265563965,10.525252342224121,22.164079666137695,7.392651081085205,,21.512924194335938,3.1268255710601807,23.3511905670166,,16.704999923706055,33.85576248168945,20.15361785888672,19.85660171508789,13.964032173156738,5.190398216247559,258.8073425292969,28.325176239013672,,18.458126068115234,5.898472309112549,19.931751251220703,19.183542251586914,28.926025390625,8.549115180969238,205.11985778808594,,18.745737075805664,17.628503799438477,,8.420564651489258,7.9692511558532715,1.6150777339935303,14.83217716217041,18.6538143157959,22.838226318359375,20.003143310546875,56.3694953918457,,60.09221649169922,29.3447322845459,7.22193717956543,9.482757568359375,,53.395286560058594,19.855527877807617,9.336723327636719,26.042444229125977,8.41553783416748,12.132737159729004,54.06734848022461,,14.533756256103516,23.973182678222656,16.353492736816406,38.26696014404297,29.68938446044922
